Date,URL,Title,Text
17-Nov-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/us-department-education-delivers-trump-administrations-stem-strategy-historic-investment,U.S. Department of Education Delivers on Trump Administrations STEM Strategy with Historic Investment,"WASHINGTON — The U.S. Department of Education announced today that during the last fiscal year, it has invested $578 million to support high-quality science, technology, engineering, and math (STEM) education for students through its discretionary and research grants. During a STEM education briefing, the Department reported strong progress in implementing the Administration's five-year STEM education strategy, including building on more than $819 million in STEM investments during fiscal years 2018 and 2019. ""This Administration's strategic focus on STEM education will help expose America's students to new and exciting learning environments that will prepare them for in-demand, high-paying careers,"" said U.S. Secretary of Education Betsy DeVos. ""I'm grateful to President Trump for making STEM education a priority and for putting America's students and her workforce first."" These STEM education investments deliver on President Trump's commitment to help expand opportunities in high-demand STEM careers and achieve the overall vision and goals of the five-year federal STEM education strategic plan, titled Charting A Course For Success: America's Strategy for STEM Education . Of the FY 2020 STEM education investments, the Department awarded $141 million in new grants and $437 million to continue existing projects that are making substantial progress toward their goals. For example, Department funds will be used to prepare the STEM teacher corps for careers in the classroom, expand opportunities for low-income students to succeed in postsecondary education , and expand research and training opportunities on the improvement of students' STEM knowledge and skills , including learners with or at risk of disabilities . Approximately $156 million supported projects with a focus on computer science. Several of the STEM investments support the Administration's Opportunity Zones Initiative , which fosters economic development and job creation in economically distressed communities. Investments made in FY 2020 include: $3.6 million for the Alaska Native Education Equity Program $300,000 for Braille training (rehabilitation services demonstrations and training) $5.1 million for the College Assistance Migrant Program (CAMP) $5 million for the Comprehensive Centers Program $124.7 million for Gaining Early Awareness and Readiness for Undergraduate Programs (Partnership Grants) (GEAR-UP) $23 million for Graduate Assistance in Areas of National Need $25 million for Innovative Approaches to Literacy $5.7 million for the Jacob K. Javits Gifted and Talented Students Education Program $900,000 for Migrant Education Consortium Incentive Grants (CIG) $29 million for the Native Hawaiian Education Program $12.6 million for the Minority Science and Engineering Improvement Program (MSEIP) $1.4 million for the Perkins Innovation & Modernization Grant Program $300,000 for Strengthening Asian American and Native American Pacific Islander Serving Institutions (AANAPISI) $2.3 million for Strengthening Native American Nontribal Serving Institutions (NASNTI) $1.5 million to provide special education programs in educational technology, media, and materials for students with disabilities via a cooperative agreement with the Center on Early STEM Learning for Young Children $9.3 million to provide special education programs educational technology, media, and materials for individuals with disabilities via Stepping Up $151.2 million for Federal TRIO Programs $73.7 million for Supporting Effective Educator Development (SEED) $49.4 million for the Teacher Quality Partnership (TQP) $28.2 million for Education Research Grants Programs $1.5 million for the Fulbright-Hays Doctoral Dissertation Research Abroad Program $4.3 million for the Small Business Innovation and Research (SBIR) Program $11.1 million for the Special Education Research Grants Program $6.3 million for Research Training in the Education Sciences $2.6 million for Research Training in Special Education The investments announced today explicitly address STEM and do not include other Department funds that schools and institutions of higher education (IHEs) can use to support STEM education, such as formula funding provided through the Elementary and Secondary Education Act (ESEA) and Perkins V, federal student aid, or the CARES Act's Education Stabilization Fund. The Department has also supported STEM education beyond grant-making, through partnerships and innovations including: FY 2018 – Partnership with the Smithsonian's National Air and Space Museum to launch the ""She Can"" Summer Camp which provides middle schoolers from low-income families with hands-on STEM experiences, FY 2019 – Updates to the College Scorecard to help students and parents make more informed and personalized decisions about higher education options, including STEM, and FY 2020 – Creation of the inaugural Presidential Cybersecurity Education Award to elevate and recognize America's top cybersecurity K-12 educators. The second annual call for nominations was announced last week. The Department is conducting a robust set of FY 2021 discretionary grant competitions. Applicants can learn more through ED's website and the Federal Forecast of Funding . The Department offers introductory resources about its grant-making here and here . The Department is always seeking experts in STEM education and other fields to serve as peer reviewers of grant applications; see here for more information. To stay up-to-date about the Department's STEM work, please sign up for our STEM Education newsletter and visit ED.gov/STEM ."
9-Nov-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/secretary-devos-opens-nominations-second-annual-presidential-cybersecurity-education-award,Secretary DeVos Opens Nominations for Second Annual Presidential Cybersecurity Education Award,"WASHINGTON — U.S. Secretary of Education Betsy DeVos announced today the call for nominations for the Presidential Cybersecurity Education Award, which honors two K-12 educators for excellence in cybersecurity education. Now in its second year, the Presidential Cybersecurity Education Award is presented annually to one elementary educator and one secondary educator who instill in their students skills, knowledge, and passion for cybersecurity. ""Talented educators at all grade levels are shaping the future of our nation's cybersecurity workforce,"" said Secretary DeVos. ""I look forward to recognizing two outstanding educators who are successfully developing their students' skills and setting them on a path to meaningful careers in cybersecurity."" Award recipients will embody the expertise and dedication of educators who are critical to strengthening the nation's cybersecurity workforce. A nominee need not work in cybersecurity education exclusively; any educator whose subject matter includes cybersecurity is welcome to apply. Recipients of this honor will receive acknowledgement by the President of the United States and the U.S. Secretary of Education, public recognition as a leader in the field of cybersecurity education, as well as professional development opportunities. Established on May 2, 2019, by President Donald J. Trump's Executive Order on America's Cybersecurity Workforce, this award was created by the U.S. Department of Education in consultation with the Deputy Assistant to the President for Homeland Security and Counterterrorism at the National Security Council, as well as the National Science Foundation. Honorees from the 2019-2020 school year are Donna Woods of Canyon Springs High School in Moreno Valley, California, and Kara Four Bear of New Town Middle School in New Town, North Dakota. The nomination period is now open and will close on Jan. 31, 2021. Educators from all 50 states, the District of Columbia, Puerto Rico, all U.S. territories, Department of Defense Education Activity (DoDEA) schools, and Tribal areas are eligible to apply or be nominated. Anyone may nominate an educator for this honor, including parents, students, fellow educators, and community members. Self-nominations are permitted. For the rules, terms and conditions and specifics on how to apply, please visit here . Please visit the Department of Education's STEM web page for more information, and please send all questions about this award to cyberawards@ed.gov . Information on the Executive Order is available here ."
28-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/secretary-devos-releases-statement-nations-report-card-results-12th-graders,Secretary DeVos Releases Statement on The Nation's Report Card Results for 12th Graders,"U.S. Secretary of Education Betsy DeVos released the following statement on the new reading and mathematics results for 12th grade students on The Nation's Report Card : ""America is the greatest country on the face of the earth, and we should deliver our rising generation the greatest educational opportunities possible. Sadly, today’s results confirm America’s schools continue to fall far short, and continue to fail too many kids, especially the most disadvantaged. Being a high school graduate should mean something. But when 40% of these graduates are 'below basic' in math, and 30% are 'below basic' in reading, it’s hard to argue the education system is preparing them for what comes next. ""It’s particularly troubling to see the results for our lowest performing and most disadvantaged students getting worse. Education funding flows most heavily to these students’ schools, but these data make clear money to schools alone will not fix the problem. It’s a problem of approach. ""This Report Card should light a fire under America’s education leaders to pivot and try something new to avert another lost generation. Legislators of both parties should stop making excuses and start working with their governors and the White House right now to pass meaningful reforms that empower students and parents to take control of their education and their future. ""We must start to act like our national security hinges on fixing this, because it does. We must start to act like our economic growth hinges on fixing this, because it does. We must start to act like our very future hinges on solving this now, because it unquestionably does."""
23-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/us-department-education-releases-parent-and-family-digital-learning-guide,U.S. Department of Education Releases Parent and Family Digital Learning Guide,"WASHINGTON – The U.S. Department of Education today released a new Parent and Family Digital Learning Guide , a resource to help parents and guardians understand how digital tools can provide tailored learning opportunities, engage students with course materials, encourage creative expression, and enrich the educational experience. ""As technology continues to iterate and benefit every part of our lives, all students need more opportunities to leverage the potential of technology in education,"" said U.S. Secretary of Education Betsy DeVos. ""We hope families can use the information we release today as many of them are relying on technology more so than ever before and are navigating learning from home."" Digital learning can help families and educators meet the specific needs of individual students, understand a child's progress, and connect families and students with resources in their school community and beyond. As an increasing number of school systems implement digital learning both inside and outside of the traditional classroom, this guide demystifies digital learning for parents and empowers them to be effective advocates for high-quality digital learning. The Parent and Family Digital Learning Guide includes guidance and best practices for caregivers around topics including: 1. How to leverage flexibilities and innovations technology and digital tools provide, such as accessibility options, to meet the unique needs of every learner — including students with disabilities and English language learners. 2. Simple steps parents can take to keep their children safe online and foster safe online behavior, such as accessing security features on a child's device, keeping track of log-in information, and keeping children safe while videoconferencing. The guide also discusses the importance of digital citizenship and offers parents resources to help their child navigate online bullying or encounters with troubling content. 3. How a competency-based learning approach, which measures a student's knowledge of a subject rather than time spent on the subject, can harness technology for the benefit of students. Digital resources like online assessments, periodic check-ins, and more can update parents on their child's learning progress, and they can provide instructional flexibility in the event of a school disruption. 4. Easy-to-understand primers on major federal laws governing student privacy and safety, such as FERPA, IDEA, and COPPA. The Parent and Family Digital Learning Guide was informed by the feedback and contributions of digital learning experts representing researchers, parents, educators, and school leaders, as well as Digital Promise and Learning Heroes. This publication is the first in a series that will ultimately provide digital learning knowledge and resources to educators and school leaders in addition to parents and students. The guide can be viewed here ."
21-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/us-department-education-announces-additional-funding-earn-and-learn-opportunities-prepare-postsecondary-students-career-success,U.S. Department of Education Announces Additional Funding For Earn-and-Learn Opportunities to Prepare Postsecondary Students for Career Success,"WASHINGTON – U.S. Secretary of Education Betsy DeVos announced today additional funding for the Federal Work Study (FWS) Experimental Sites, an initiative which expands earn-and-learn opportunities for students by removing barriers to off-campus jobs, allowing students to work more hours, and permitting institutions to pay students for work-based learning such as apprenticeships, externships, and clinical rotations. Initiated in February 2020, the FWS Experimental Sites at 190 institutions have incentivized student work opportunities that provide not only a paycheck, but meaningful skills training that aligns with students’ future career goals. This funding will be used both to supplement FWS wages and to create and grow Job Location and Development (JLD) programs. JLD programs provide critical support for institutions as they seek out employer partners, help students find jobs, and oversee the quality of the work opportunities. JLD programs serve FWS and non-FWS students alike. “The expansion of earn-and-learn sites incentivizes employers and institutions to work together for the benefit of students. Students will earn much more than a paycheck – they will gain the skills and experiences needed to succeed in any career,” said Secretary DeVos. “That’s why we’re directing additional funds for students who need them the most. Breaking down silos between the classroom and the workplace is the right thing to do for students and for our economy.” Because this experiment makes clear that FWS students may work more than 10 hours per week, low-income students at participating institutions will no longer need to decline their FWS award so that they can seek a job that provides more hours. Additionally, the FWS Experimental Sites may pay students for the work they do, such as student teaching, externships, and clinical rotations, even if that work is a required part of their academic program. Low-income students at participating institutions are no longer forced to choose between completing their program’s requirements or earning wages. The new FWS Experiment supplemental allocation formula directs funding to where it is needed most: institutions enrolling students from low-income backgrounds. These students will disproportionately benefit from placement in off-campus jobs that allow them to meet their earning needs while gaining a foothold in their future career. The prior supplemental allocation formula, set by Congress in the Higher Education Act, included a base guarantee and a fair share formula, neither of which emphasized the needs of low-income students at under-resourced institutions. The new formula accounts for the institution’s prior year FWS expenditures and provides more funding to institutions based on the number of Pell Grant recipients it serves. For more information on the FWS experimental sites, click here ."
20-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/us-department-education-uncovers-vast-underreporting-foreign-gifts-and-contracts-higher-education-institutions,U.S. Department of Education Uncovers Vast Underreporting of Foreign Gifts and Contracts by Higher Education Institutions,"WASHINGTON – U.S. Secretary of Education Betsy DeVos unveiled a report today detailing the massive failure of many colleges and universities to disclose more than $6.5 billion in funding and resources from foreign sources including China, Russia, Saudi Arabia, the United Arab Emirates, and Qatar. Section 117 of the Higher Education Act requires institutions of higher education to transparently report foreign gifts and contracts, yet over the course of the last year, the Department has uncovered billions in unreported financial ties. “The threat of improper foreign influence in higher education is real. Our action today ensures that America’s students, educators, and taxpayers can follow the money,” said Secretary DeVos. “Transparency in foreign funding of higher education is not just something I think is a good thing; it’s the law. For too long, enforcement of that law was lax, but not anymore.” After four decades of pervasive noncompliance by colleges and universities, this landmark report produced by the Office of the General Counsel empowers American taxpayers with the transparency they deserve about the relationships between taxpayer-supported institutions and foreign actors, who may not have the best interests of students at heart. The Senate Permanent Subcommittee on Investigations described foreign spending on U.S. schools as “a black hole” because colleges and universities “routinely” fail to comply with the law, and reported foreign money can come with strings attached that might compromise academic freedom. Major findings of the report include: Two universities failed to accurately account for foreign funding of their campuses in Doha,Qatar, which are funded in part by the Qatari government. The Qatari Foundation exerted its financial influence to stifle free speech. Huawei, the Chinese technology giant supported by the Chinese Communist Party, had financial ties to nearly all the investigated institutions. Huawei targets its higher education funding to issues important to national security such as nuclear science, robotics, and online cloud services. Two Chinese companies are working with one U.S. university on a research project involving crowd surveillance and predictive behavior technology, which the Chinese government could potentially harness for nefarious purposes. A large donation by Prince Alwaleed bin Talal to Georgetown University empowered the Saudis to push a particular ideologically-driven narrative through the teaching and learning done on specific topics relevant to the Middle East. One university accepted a $25,000 sponsorship from Kaspersky Government Security Solutions, a cybersecurity company with suspected ties to the Russian government, to host a cybersecurity conference. In June, the Secretary unveiled a new online portal to make it easier for schools to report foreign gifts and contracts valued at more than $250,000. That reporting portal has recorded more than 7,000 transactions that total approximately $3.8 billion. Approximately 60 of the institutions who have filed through this portal so far had not submitted any reports between 1986 and June 2020. Their disclosures alone totaled more than $350 million during the July 31, 2020 reporting period. A copy of the full report can be accessed here ."
19-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/10-principals-named-recipients-2020-terrel-h-bell-award-outstanding-school-leadership,10 Principals Named Recipients of 2020 Terrel H. Bell Award for Outstanding School Leadership,"WASHINGTON — U.S. Secretary of Education Betsy DeVos today named 10 principals as recipients of the 2020 Terrel H. Bell Award for Outstanding School Leadership . The 10 principals were selected from the 2020 cohort of National Blue Ribbon Schools and will be honored during the National Blue Ribbon Schools virtual awards ceremony on Nov. 12, 2020. “Excellent learning environments are led by excellent leaders—those willing to think innovatively and creatively about how best to serve students and support teachers,” said Secretary DeVos. “I’m honored to, once again this year, recognize the talented principals who are this year’s Bell Award winners. They are the ones leading needed transformation at the most local level and are committed to student success.” Named for the second U.S. Secretary of Education, the Bell Award honors school leaders who are committed to education as a powerful and liberating force in people’s lives. The award is part of the National Blue Ribbon Schools Program. Principals are nominated by their school communities during the final stages of the National Blue Ribbon Schools application process. The U.S. Department of Education, together with the National Association of Elementary School Principals, the Association for Middle Level Education, and the National Association of Secondary School Principals, present the Bell Awards to principals of National Blue Ribbon Schools for their outstanding work and the vital role they play in guiding their students and schools to excellence, frequently under challenging circumstances. The 2020 recipients are: AR—Russellville – Crawford Elementary School – Shavon Jackson CT—Danbury – South Street School – Carmen Vargas-Guevara DE—Seaford – Frederick Douglass Elementary School – Carol Leveillee DC—Washington – Oyster-Adams Bilingual School – Mayra A. Cruz GA—Jonesboro – Martha Ellen Stilwell School of the Arts – Michael H. Robinson KY—Pewee Valley – Saint Aloysius School – Maryann Hayslip TN—Elizabethton – West Side Elementary School – John Ross Wright Jr. TX—Austin – Reilly Elementary School – Corrine Morris Saenz WA—Puyallup – Ridgecrest Elementary School – Michelle M. Fox Lifetime of Leadership Award Recipient HI—Honolulu – King Liholiho Elementary School – Christina Small To learn more about the National Blue Ribbon Schools Program and the Terrel H. Bell Awards, click here ."
15-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/us-department-education-releases-2017-18-civil-rights-data-collection,U.S. Department of Education Releases 2017-18 Civil Rights Data Collection,"WASHINGTON — The U.S. Department of Education’s (Department) Office for Civil Rights (OCR) today released the 2017-18 Civil Rights Data Collection (CRDC). This data, which are self-reported by 17,604 public school districts and 97,632 public schools and educational programs, have been collected and published biennially by OCR since 1968. The CRDC is a universal collection of data related to OCR’s civil rights enforcement responsibilities at Pre-K through 12th grade levels, including charter schools, magnet schools or programs, alternative schools, schools serving students with disabilities, and long-term secure juvenile justice facilities. The 2017-18 CRDC covers a broad array of topics and requires school districts and their schools to collect and input as many as 1,700 data points. Among the data collected, parents and students can find information on enrollment, various advanced placement and math courses offered, and gifted and talented programs, as well as data on school characteristics. “Protecting all students’ civil rights is at the core of OCR’s mission, and in order to meet that challenge, we need reliable, accurate data and a true partnership with state education agencies and school districts,” said U.S. Secretary of Education Betsy DeVos. “I’m proud of this administration’s commitment to working with schools and local districts to ensure students’ civil rights are protected, whether it be through our new Outreach, Prevention, Education and Non-discrimination (OPEN) Center, or the significant steps we’ve taken to ensure CRDC data quality, including our partnership with the National Center for Education Statistics (NCES). While self-reported data poses challenges, the quality assurance measures we have put into place help make this data more reliable than ever before.” As a result of OCR’s important partnership with NCES, announced in August 2019 , the 2017-18 CRDC contains improved data quality in several categories. The 2017-18 CRDC was improved over past collections by addressing statistical anomalies and increasing post-collection outreach in order to give school districts an opportunity to submit amended, accurate data. Data quality reviews and technical enhancements included the following: Conducting greater outreach to school districts with potentially anomalous restraint and seclusion data submissions; and Allocating additional technical support resources, clarifying proper understanding of reporting requirements, and working with school districts to ensure detailed written corrective plans were put into place when data was incomplete. “The CRDC is an important aspect of OCR’s overall strategy for enforcing civil rights in the nation’s public schools and is an important tool in our work to ensure that every child has the opportunity to learn in an environment that is free from discrimination,” said Kimberly M. Richey, acting assistant secretary for civil rights. “For the last three years, OCR has prioritized improving data validity and reliability so that the CRDC can be even more effective. Our increased data quality and improved collection efforts will benefit stakeholders, schools, families, and those who are committed to eliminating roadblocks to a quality education for all students.” The CRDC website includes many useful tools, including tables and charts, that display a district’s or school’s data about key issues for the current CRDC and/or multiple prior collections at the same time. This year, the Department modernized the website’s user interface and infrastructure, making it look and function better than ever before. The website has an updated look, a Quick Search function, and is faster. Now, all content will be accurately displayed on all types of devices (e.g., phones, tablets, and desktops). In addition, OCR released two issue briefs on topics about which Secretary DeVos has raised concerns: the use of restraint and seclusion on students with disabilities and sexual violence in K-12 schools: https://www2.ed.gov/about/offices/list/ocr/docs/restraint-and-seclusion.pdf and https://www2.ed.gov/about/offices/list/ocr/docs/sexual-violence.pdf . The full CRDC data set is available at: https://www2.ed.gov/about/offices/list/ocr/docs/2017-18-crdc-data.zip ."
9-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/us-education-secretary-appoints-five-members-board-overseeing-nations-report-card,U.S. Education Secretary Appoints Five Members to Board Overseeing The Nation’s Report Card,"WASHINGTON – U.S. Secretary of Education Betsy DeVos announced today the appointment of five distinguished leaders to the National Assessment Governing Board. This year’s slate includes four new members and one re-appointed member. Former Mississippi Gov. Haley Barbour has been reappointed as chair for a second year. The appointees will help define and objectively measure student performance in nearly a dozen academic subjects by setting policy for the National Assessment of Educational Progress (NAEP), also known as The Nation’s Report Card. NAEP provides objective information on student performance in various subjects and for different student groups and reports on student achievement across the nation, in states, and in large urban districts. The 26-member Governing Board is responsible for deciding which subjects NAEP assesses, determining the assessments’ content, setting achievement levels that describe student performance, and pursuing new ways to make NAEP results useful and meaningful to the public. “It’s a privilege to appoint this distinguished group of leaders to the National Assessment Governing Board,” said Secretary DeVos. “Because so many students had their educations disrupted by the pandemic, measuring their progress is more critical than ever as we continue our work to ensure every student is learning and growing. The Nation’s Report Card has told a grim story the past several years, and we must remain vigilant against student achievement sliding even further backward.” The appointees’ terms officially began on Oct. 1, 2020, and will end on Sept. 30, 2024. The new Governing Board appointees are: Suzanne Lane, testing and measurement expert: Lane has been a faculty member in the research methodology program at the University of Pittsburgh’s School of Education since 1986. She is a former president of the National Council on Measurement in Education and former vice president of Division D of the American Educational Research Association. She has served on numerous national and state assessment committees and advisory panels and on the editorial boards of leading academic journals of educational research and measurement. Alice Peisch, state legislator – Democrat (reappointed): Peisch joined the Governing Board in 2016. She has served as Massachusetts' state representative for the 14th Norfolk District since 2003 and as House chair of Massachusetts’ Joint Committee on Education since 2011. Her accolades include receiving the 2019 Reformer of the Year Award from the Massachusetts chapter of Democrats for Education Reform and the 2012 Walter G. Turner Award from the Association of Educational Service Agencies for her work in education collaboratives. Julia Rafal-Baer, general public representative: Rafal-Baer has been the chief operating officer of Chiefs for Change – a bipartisan network of state and large-district education chiefs – since 2016. Prior to joining Chiefs for Change, Rafal-Baer was assistant commissioner of the New York State Education Department, where she provided policy and strategic leadership to the commissioner and the Board of Regents and was responsible for teacher and leader initiatives under the state’s Race to the Top grant, Teacher Incentive Fund grant, and others. Rafal-Baer began her career as a special education teacher. She holds a Ph.D. from the University of Cambridge, where she was a Marshall Scholar. Ron Reynolds, non-public school administrator or policymaker: Reynolds has been the executive director of the California Association of Private School Organizations since 2002. Reynolds was previously the director of school services at Builders of Jewish Education. He has held teaching and leadership roles at Jewish private schools and served as a lecturer at American Jewish University in Los Angeles. Mark White, state legislator – Republican: White has been Tennessee's state representative for District 83, which contains part of Shelby County, since 2010. He chairs Tennessee’s House Education Committee. White is a former teacher, principal, and small-business owner. He co-founded the Global Children’s Educational Foundation, which provided financial assistance and educational opportunities to impoverished children in Panama. Secretary DeVos also named former Mississippi Gov. Haley Barbour, who was appointed to the Governing Board in 2019 and is the current chair, as chair of the Board for the 2020-2021 year. “We welcome the new and reappointed members of the National Assessment Governing Board. At a time of unprecedented disruption in our nation’s schools, we look forward to working together to ensure NAEP remains the gold standard of assessment, providing valuable information to improve American education,” said Lesley Muldoon, the executive director of the Governing Board. ### The National Assessment Governing Board is an independent, nonpartisan board whose members include governors, state legislators, local and state school officials, educators, business representatives and members of the general public. Congress created the 26-member Governing Board in 1988 to set policy for the National Assessment of Educational Progress. For more information about the Governing Board, visit www.nagb.gov ."
9-Oct-20,https://web.archive.org/web/20210108025343/https://www.ed.gov/news/press-releases/readout-white-house-conference-call-african-american-leaders-school-choice-now-us-education-secretary-betsy-devos-and-senator-tim-scott,Readout of the White House Conference Call with African American Leaders on School Choice Now with U.S. Education Secretary Betsy DeVos and Senator Tim Scott,"WASHINGTON — U.S. Secretary of Education Betsy DeVos, alongside Sen. Tim Scott and members of the White House Domestic Policy Council, participated in a call with African American leaders this week on the importance of education freedom and how the ""School Choice Now Act"" could expand educational options and opportunities for African American students. ""African Americans, and all Americans, need more opportunities to grow, to develop, and to prosper, and that all starts with a great education. President Trump and I are fighting every day for more options for every student and every family across America,"" Secretary DeVos told participants. ""Under the President's leadership, we've lit a prairie fire across America for parental school choice. Countless surveys show that more families today support parental choice than ever before. Notably, a very recent RealClear Opinion survey found that 73% of African American families want their education dollars to follow their children to wherever they go to learn. Three out of four families with children in public schools want the same thing."" Sen. Tim Scott thanked Secretary DeVos for her leadership on school choice initiatives and for her support of the ""School Choice Now Act"" which was included in the most recent Senate COVID-19 relief package. Sen. Scott called the issue of school choice ""personal,"" noting that he grew up in a single-parent home below the poverty line with limited access to a quality education. ""The commitment to education is not a political one,"" Sen. Scott said. ""The commitment to education is to ensure that the American dream is alive even for the poorest Americans."" The call engaged a broad audience of African American community leaders and school choice advocates from across the country to discuss the importance of school choice in the African American community, especially for low income families. Below are highlights from speakers: Brooke Rollins, Assistant to the President and Acting Director of the Domestic Policy Council Brooke Rollins moderated the call and introduced Secretary DeVos after brief remarks highlighting the President's commitment to advancing school choice. ""This President will fight to his last breath for Americans, especially those who need it the most,"" Rollins said. ""Our forgotten children need school choice… Nothing is more important for the future of this country than a world class education."" Ja'Ron Smith, Deputy Assistant to the President for Domestic Policy and Deputy Director of the White House Office of American Innovation In his brief remarks, Deputy Assistant to the President Ja'Ron Smith thanked Secretary DeVos and Sen. Scott for their leadership on school choice, he noted, ""The White House has always been focused on a holistic approach to elevating communities. We know that school choice is a national issue but it really affects local communities."" John DeBerry Jr., state representative, Tennessee Tennessee state Rep. John DeBerry Jr., called school choice ""one of the most important civil rights issues of our time,"" while adding that ""education is key to equality."" ""I had parents call me every day in tears because their children are not getting the attention they need,"" Rep. DeBerry said. ""This should be a nonpartisan issue. What's at stake is the future of our nation, the future of our republic… We have to stop the schoolhouse-to-jailhouse pipeline that we see in so many of our communities."" Terris Todd, Executive Director of the White House Initiative on Educational Excellence for African Americans Terris Todd, Executive Director of the White House Initiative on Educational Excellence for African Americans, praised Secretary DeVos for being ""a staunch advocate for school choice,"" while adding, ""This is about students."" ""[Secretary DeVos] asks the question ‘What will most benefit students,'"" Todd said in brief remarks to the call. ""It is all about what's best for the students, for their needs. African Americans can agree that parents have that final decision of what's best for their child… This is what the majority of African Americans want."" Participants from the U.S. Department of Education U.S. Secretary of Education Betsy DeVos Executive Director of the White House Initiative on Educational Excellence for African Americans Terris Todd Other Speakers U.S. Sen. Tim Scott, South Carolina Tennessee State Rep. John DeBerry Jr. Assistant to the President and Acting Director of the Domestic Policy Council Brooke Rollins Deputy Assistant to the President for Domestic Policy and Deputy Director of the White House Office of American Innovation Ja'Ron Smith Special Assistant to the President and Director of Strategic Partnerships and African American Outreach Nicole A. Frazier"
