Date,URL,Title,Text
19-Jan-21,/media/press-releases/2021/01/19/secretary-perdue-statement-mou-animal-biotechnology,Secretary Perdue Statement on MOU on Animal Biotechnology,"(Washington, D.C., January 19, 2021)
 – U.S. Secretary of Agriculture Sonny Perdue issued the following statement after signing a 
Memorandum of Understanding
 (PDF, 141 KB) with the Assistant Secretary for Health and Head of the Public Health Service Admiral Brett Giroir, M.D., establishing a regulatory environment at the Department of Agriculture for agricultural animal biotechnology innovation:


“Today’s Memorandum of Understanding clears a path to bring our regulatory framework into the 21
st
 century, putting American producers on a level playing field with their competitors around the world. In the past, regulations stifled innovation, causing American businesses to play catch-up and cede market share,” 
said Secretary Perdue
. “America has the safest and most affordable food supply in the entire world thanks to the innovation of our farmers, ranchers and producers. Establishing a new, transparent, risk and science-based regulatory framework would ensure this continues to be the case.”


Background:


Today, the U.S. Department of Agriculture (USDA) announced the finalization of a Memorandum of Understanding (MOU) with the U.S. Department of Health and Human Services’ Food and Drug Administration (FDA) outlining responsibilities concerning the regulation of certain animals developed using genetic engineering that are intended for agricultural purposes (such as human food, fiber, and labor). This MOU complements USDA’s issuance of an Advanced Notice of Proposed Rulemaking (ANPR) on the Movement of Animals Modified or Developed by Genetic Engineering on December 28, 2020.


Agricultural biotechnology holds tremendous potential to improve animal health, enhance farm productivity, improve nutrition, and even reduce the need for some animal health measures. USDA and FDA have a long history of delineating the review of products with overlapping jurisdictional authority between the two agencies to promote regulatory clarity and reduce duplicative review. USDA and FDA are committed to working together to foster safe use of this promising technology and encourage innovation.


The terms of the MOU support USDA’s ANPR outlining a contemplated regulatory framework that would apply to certain animals (cattle, sheep, goats, swine, horses, mules, or other equines, catfish, and poultry) developed using genetic engineering intended for agricultural purposes. Under this framework, USDA would safeguard animal and human health by providing end-to-end oversight from pre-market reviews through post-market food safety monitoring for certain farm animals modified or developed using genetic engineering that are intended for human food.


The MOU also allows for the transition of portions of FDA’s pre-existing animal biotechnology regulatory oversight to USDA. USDA would continue to coordinate closely with FDA to fulfill oversight responsibilities and provide the appropriate regulatory environment, ensuring the safety of products derived from new technologies and fostering innovation at the same time. As always, FDA would continue its review of intentional genomic alterations intended for any purpose other than agricultural use, such as biopharma and non-heritable genomic alteration, and the regulation of dairy products, table and shell eggs, certain meat products, and animal food (feed) derived from animals developed using genetic engineering.


#


USDA is an equal opportunity provider, employer, and lender."
15-Jan-21,/media/press-releases/2021/01/15/secretary-perdue-statement-h-2a-modernization,Secretary Perdue Statement on H-2A Modernization,"(Washington, D.C., January 15, 2021)
 - U.S. Secretary of Agriculture Sonny Perdue today issued a statement applauding the Department of Labor’s final rule modernizing the H-2A visa program:


“This final rule streamlining and modernizing the H-2A visa process will go a long way in ensuring American farmers have access to a stable and skilled workforce, all while removing unnecessary bureaucratic processes. USDA’s goal is to help farmers navigate the complex H-2A program that is administered by Department of Labor, Department of Homeland Security, and the State Department so hiring a farm worker is an easier process,” said Secretary Perdue. “These modernizations make the Federal government more responsive to our customers, ensuring American agriculture continues to lead the world for years to come.”


Background:


The final rule will streamline the H-2A application process by mandating electronic filing of job orders and applications. These elements are designed to bring the H-2A application process into the digital era, by harnessing the power of the FLAG electronic filing system to share information with other federal agencies like the Department of Homeland Security while also sharing information with the State Workforce systems and domestic farmworkers.


Additionally, the final rule will provide additional flexibilities to cut down on unnecessary burdens on the agricultural employers that use the program. These flexibilities include the ability to stagger the entry of workers into the country over a 120-day period and allowing agricultural employers the flexibility to file a single application for different dates of need instead of multiple applications.


#


USDA is an equal opportunity provider, employer, and lender."
15-Jan-21,/media/press-releases/2021/01/15/usda-offers-additional-assistance-certain-producers-through,USDA Offers Additional Assistance for Certain Producers Through Coronavirus Food Assistance Program,"(Washington, D.C., January 15, 2021)
 – U.S. Secretary of Agriculture Sonny Perdue announced the U.S. Department of Agriculture (USDA) will provide additional assistance through the Coronavirus Food Assistance Program (CFAP), expanding eligibility for some agricultural producers and commodities as well as updating payments to accurately compensate some producers who already applied for the program. Producers who are now eligible and those who need to modify existing applications due to these updates can contact USDA’s Farm Service Agency (FSA) between Jan. 19 and Feb. 26. Some of these changes are being made to align with the recently enacted Consolidated Appropriations Act of 2021 while others are discretionary changes being made in response to ongoing evaluation of CFAP.


“The COVID-19 pandemic has left a deep impact on the farm economy, and we are utilizing the tools and monies available to ease some of the financial burdens on American producers to ensure our agricultural economy remains strong, independent and a global leader in production,” said Secretary Perdue. “As part of implementing CFAP 1 and CFAP 2, we identified new areas of support and Congress recently directed us to provide additional relief. This additional assistance builds on to the $23.6 billion in assistance already provided to our farmers and ranchers impacted by the pandemic, and we will continue to implement other provisions enacted by Congress.”


Background:


Expanded Eligibility for CFAP 2


Contract producers of swine, broilers, laying hens, chicken eggs and turkeys who suffered a drop in revenue in 2020 as compared to their 2019 revenue because of the pandemic now are eligible for assistance. Producers could receive up to 80% of their revenue loss, subject to the availability of funds.


Producers of pullets and turfgrass sod also now are eligible for CFAP payments. The commodities were not explicitly included in the initial CFAP 2 rule. Payments are based on eligible sales, and the payment calculation in the updated rule includes crop insurance indemnities, Noninsured Crop Disaster Assistance Program (NAP), and Wildfire and Hurricane Indemnity Program – Plus (WHIP+) payments.


Updated Payment Calculations for CFAP 2


Similarly, FSA adjusted the payment calculation to use the producer’s eligible 2019 calendar year sales, and 2019 crop insurance indemnities, NAP, and WHIP+ payments, multiplied by the applicable payment rate for all sales commodities, which include specialty crops, aquaculture, tobacco, specialty livestock, nursery crops and floriculture, for CFAP 2. Producers who applied during the sign-up period that closed Dec. 11, 2020, can modify an existing CFAP 2 application between Jan. 19 and Feb. 26, 2021.


Additionally, FSA adjusted the payment calculation for certain row crops for CFAP 2, specifically those for which a producer had crop insurance coverage but not an available 2020 Actual Production History (APH) approved yield. FSA is now using 100% of the 2019 Agriculture Risk Coverage-County Option (ARC-CO) benchmark yield to calculate payments when an APH is not available rather than 85%, which was in the original CFAP 2 calculations. This calculation change is only for producers with crop insurance coverage who grow barley, corn, sorghum, soybeans, sunflowers, upland cotton and wheat. Producers who applied during the sign-up period that closed Dec. 11, 2020, can modify an existing CFAP 2 application between Jan. 19 and Feb. 26, 2021.


CFAP 1 ‘Top-up’ Payments for Swine


FSA is providing an additional CFAP 1 inventory payment for swine to help producers who face continuing market disruptions from changes in U.S. meat consumption due to the pandemic. Swine producers with approved CFAP 1 applications will soon automatically receive a “top-up” payment of $17 per head increasing the total CFAP1 inventory payment to $34 per head.


More Information


Newly eligible producers who need to submit a CFAP 2 application or producers who need to modify an existing one can do so between Jan. 19 and Feb. 26, 2021, by contacting their local USDA Service Center. New applicants can also obtain one-on-one support with applications by calling 877-508-8364.


In addition to the changes being made to CFAP, per language in the Consolidated Appropriations Act of 2021, FSA will extend 2020 Marketing Assistance Loans to provide additional flexibilities for farmers. FSA is also preparing to move forward on implementation of the remaining provisions of the recently passed Consolidated Appropriations Act of 2021.


To learn more about this additional assistance, visit 
farmers.gov/cfap
.


All USDA Service Centers are open for business, including those that restrict in-person visits or require appointments. All Service Center visitors wishing to conduct business with FSA, Natural Resources Conservation Service or any other Service Center agency should call ahead and schedule an appointment. Service Centers that are open for appointments will pre-screen visitors based on health concerns or recent travel, and visitors must adhere to social distancing guidelines. Visitors are also required to wear a face covering during their appointment. Our program delivery staff will continue to work with our producers by phone, email and using online tools. More information can be found at 
farmers.gov/coronavirus
.


#


USDA is an equal opportunity provider, employer, and lender."
14-Jan-21,/media/press-releases/2021/01/14/secretary-perdue-statement-establishment-wildland-fire-subcabinet,Secretary Perdue Statement on the Establishment of Wildland Fire Subcabinet,"(Washington, D.C., January 14, 2021)
 – U.S. Secretary of Agriculture Sonny Perdue today issued a statement celebrating the establishment of the Interagency Wildland Fire Subcabinet. Executive Order on Establishing The Wildland Fire Management Policy Committee will open up more communication channels to ensure better forest management effectiveness between the Departments and Agencies within the Federal government.


“While I am proud of our progress to promote active management, reduce hazardous fuels, work across boundaries and increase the resiliency of our nation’s forests and grasslands, I believe more can be done,” said Secretary Perdue. “With the establishment of a subcabinet dedicated exclusively to wildland fire management, we will be better equipped to prevent and fight wildfires, ensuring these national treasures will continue to be enjoyed by future generations of Americans.”


Background:


Executive Order on Establishing The Wildland Fire Management Policy Committee will set United States policy to:




Improve coordination among agencies on wildland fire management policy, implementation and oversight issues;


Reduce unnecessary duplication across the Federal Government by coordinating and consolidating existing wildland fire related councils, working groups, and other formal cross-agency initiatives, as appropriate;


Efficiently and effectively manage preparedness resources, initial attack response, extended attack and large fire support, and hazardous fuels at a cross boundary, landscape scale;


Promote integrated planning and procurement among agencies for Federal investments in wildland fire management infrastructure; and


Support workforce development and efforts to recruit, train, and retain federal wildland firefighters to efficiently and effectively respond to wildfire on public lands, and to protect life, property and community infrastructure.




#


USDA is an equal opportunity provider, employer, and lender."
12-Jan-21,/media/press-releases/2021/01/12/usda-releases-agriculture-innovation-research-strategy-summary-and,USDA Releases Agriculture Innovation Research Strategy Summary and Dashboard,"(Washington, D.C., January 12, 2021)
 – Today, the U.S. Department of Agriculture (USDA) released its 
U.S. Agriculture Innovation Strategy Directional Vision for Research
 (PDF, 4.8 MB) summary and 
dashboard
 that will help to guide future research decisions within USDA. The strategy synthesizes the information USDA collected as part of a public announcement earlier this year engaging the public on research priorities under the 
Agriculture Innovation Agenda (AIA)
.


“This initial report is a culmination of creative minds from across the agricultural community,” said Deputy Under Secretary Scott Hutchins, who leads USDA’s Research, Education, and Economics mission area, and who is responsible for research efforts under the AIA. “Innovation and ingenuity have always been key to solving critical agricultural production challenges and will also be critical for addressing new and emerging challenges on the horizon—and our stakeholders advocated for some truly bold goals. We believe this information and the AIA will create enthusiasm, bridge collaborations, drive constructive discussions, and spark imagination to convey the positive role innovation will play to help solve challenges that face our nation in meeting pressing demands to feed a growing population in a sustainable way,” said Hutchins.


USDA collected hundreds of responses through the RFI and stakeholder-led workshops. Respondents were asked to identify transformational research goals for the next era of agriculture productivity and environmental conservation. They were also asked to propose approaches to these opportunities around four innovation cluster areas (Genome Design, Digital Automation, Prescriptive Intervention, and Systems Based Farm Management), and to identify gaps, barriers, and hurdles to meeting these goals.


This report summarizes the extensive stakeholder input and defines discovery goals that will help inform research to best address the AIA for the next 10 to 30 years.


USDA developed the 
public dashboard
 to help sort the information collected from stakeholders. Stakeholders and customers can use the dashboard to take a deeper dive into the data to gain insights on agricultural innovation opportunities over three time horizons, including near-term solutions, longer-term transformational solutions, and next era concepts.


Both products are iterative and are starting points for moving the innovation community forward in reaching agricultural research goals and AIA outcomes. USDA will seek additional input from stakeholders to continue to shape and build the agriculture innovation strategy and fill any remaining gaps where more input is needed. Next steps include aligning existing USDA research programs against these bold innovation goals, while also linking existing research activities to the objectives to inform the broader innovation community of progress and enlist their engagement.


Background on USDA’s Agriculture Innovation Agenda (AIA):


The AIA is a Department-wide effort to align USDA’s resources, programs, and research to provide farmers with the tools they need to position American agriculture as a global leader in meeting future food, fiber, fuel, feed, and climate demands. As part of the AIA, USDA set ambitious goals to increase agricultural production by 40 percent, while cutting the environmental footprint of U.S. agriculture in half by 2050.


The AIA is comprised of four main components. The first component is to develop a U.S. Agriculture Innovation Strategy that aligns and synchronizes public and private-sector research. The second component is to align the work of our customer-facing agencies and integrate innovative technologies and practices into USDA programs. The third component is to conduct a review of USDA productivity and conservation data to improve our ability to track progress against our goals. Finally, USDA set benchmarks to hold us accountable. Learn more on USDA’s 
Agriculture Innovation Agenda
 website.


#


USDA is an equal opportunity provider, employer, and lender."
11-Jan-21,/media/press-releases/2021/01/11/usda-announces-details-2021-agricultural-outlook-forum-program,USDA Announces Details of the 2021 Agricultural Outlook Forum Program,"(Washington, D.C., January 11, 2021)
 – The U.S. Department of Agriculture (USDA) announces details of the 97th annual 
Agricultural Outlook Forum
, which will be held virtually on February 18-19, 2021.


The 2021 Forum, themed “Building on Innovation: A Pathway to Resilience,” will focus on the central role science and innovation have played in helping the agricultural sector overcome challenges and build resilience during the COVID-19 pandemic.


The 
Forum’s program
 (PDF, 173 KB) will begin with a presentation by USDA’s new Chief Economist, Dr. Seth Meyer, on the Department’s outlook for U.S. commodity markets and trade for 2021 and the U.S. farm income situation. A keynote address by the incoming Agriculture Secretary, presentations by Congressional leaders, and a session on genetic literacy are also scheduled for the morning on the first day of the Forum.


In addition, the program will cover five key areas:




Supply Chain Resilience


Commodity Market Outlooks


Food Price and Farm Income Outlooks


U.S. Trade and the Global Market Place


Managing Risk and Ensuring Sustainability


Innovation, Technology, and Productivity




The 2021 Forum is expected to bring together more than 3,000 participants from the U.S. and around the world, including producers, processors, policymakers, government officials, and nongovernmental organizations. The Forum’s program includes more than 30 sessions and 100 expert speakers.


Registration for the Forum is free but required to attend the Forum sessions. To register, visit the 
2021 Agricultural Outlook Forum
 website.


#


USDA is an equal opportunity provider, employer, and lender."
8-Jan-21,/media/press-releases/2021/01/08/trump-administration-invests-16-million-high-speed-broadband-rural,"Trump Administration Invests $16 Million in High-Speed Broadband in Rural Illinois, Oregon and South Carolina","WASHINGTON, Jan. 8, 2021
 – The Trump Administration today announced that the United States Department of Agriculture (USDA) is investing $16 million to provide broadband service in unserved and underserved rural areas in Illinois, Oregon and South Carolina. This investment is part of the $550 million Congress allocated to the 
second round of the ReConnect Program
.


“The need for rural broadband has never been more apparent than it is now – as our nation manages the coronavirus national emergency. Access to telehealth services, remote learning for school children, and remote business operations all require access to broadband,” U.S. Secretary of Agriculture Sonny Perdue said. “I am so proud of our rural communities who have been working day in and day out, just like they always do, producing the food and fiber America depends on. We need them more than ever during these trying times, and expanding access to this critical infrastructure will help ensure rural America prospers for years to come.”


Adams TelSystems Inc. will use a $1.6 million ReConnect grant to deploy a fiber-to-the-premises network. This network will connect 441 people, 34 farms and four businesses to high-speed broadband internet in Adams County, Illinois.


Casco Communications will use a $6.6 million ReConnect grant and a $6.6 million ReConnect loan to deploy a fiber-to-the-premises network. This network will connect 5,265 people, 32 businesses, 13 farms and two public schools to high-speed broadband in Linn and Polk counties in Oregon.


Lancaster Telephone Company will use a $1.6 million grant to deploy a fiber-to-the-premises network. This network will connect 5,574 people, 20 businesses, 17 farms and three educational facilities to high-speed broadband internet in Lancaster and Chester counties in South Carolina.


Background:


In March 2018, Congress provided $600 million to USDA to expand broadband infrastructure and services in rural America. On Dec. 13, 2018, Secretary Perdue announced the rules of the program, called “ReConnect,” including how the loans and grants will be awarded to help build broadband infrastructure in rural America.


On April 20, 2020, USDA announced the Department has received 172 applications for $1.57 billion in Round Two of the ReConnect Program. The second round will enable USDA to implement innovative new solutions to rural connectivity by leveraging financial options with our partners and continuing the success of the first round of funding. The application window for Round Two closed on April 15.


In Round One of the ReConnect Program, USDA invested $698 million to bring high-speed broadband e-Connectivity to approximately 167,000 households, 17,000 rural small businesses and farms, and more than 500 health care centers, educational facilities and critical community facilities located in 33 states. To learn more about individual investments, read 
USDA’s Broadband ReConnect Program report
 (PDF, 4 MB).


USDA received 11 Round Two ReConnect Program applications that are eligible for the $100 million Congress allocated to the program through the 
CARES Act
.


To learn more about ReConnect Program eligibility, technical assistance and recent announcements, visit 
www.usda.gov/reconnect
.


USDA Rural Development provides loans and grants to help expand economic opportunities and create jobs in rural areas. This assistance supports infrastructure improvements; business development; housing; community facilities such as schools, public safety and health care; and high-speed internet access in rural areas. For more information, visit 
www.rd.usda.gov
.


#


USDA is an equal opportunity provider, employer, and lender."
7-Jan-21,/media/press-releases/2021/01/07/trump-administration-invests-46-million-high-speed-broadband-rural,Trump Administration Invests $4.6 Million in High-Speed Broadband in Rural Georgia,"CLAXTON, Ga., Jan. 7, 2021
 – The Trump Administration today announced that the United States Department of Agriculture (USDA) is investing $4.6 million to provide broadband service in unserved and underserved rural areas in Georgia. This investment is part of the $550 million Congress allocated to the 
second round of the ReConnect Program
.


“The need for rural broadband has never been more apparent than it is now – as our nation manages the coronavirus national emergency. Access to telehealth services, remote learning for school children, and remote business operations all require access to broadband,” U.S. Secretary of Agriculture Sonny Perdue said. “I am so proud of our rural communities who have been working day in and day out, just like they always do, producing the food and fiber America depends on. We need them more than ever during these trying times, and expanding access to this critical infrastructure will help ensure rural America prospers for years to come.”


Pembroke Telephone Company Inc. will use a $4.6 million ReConnect grant to deploy a fiber-to-the-premises network. This network will connect 3,554 people, 73 farms and 19 businesses to high-speed broadband internet in Evans and Tattnall counties in Georgia.


Background:


In March 2018, Congress provided $600 million to USDA to expand broadband infrastructure and services in rural America. On Dec. 13, 2018, Secretary Perdue announced the rules of the program, called “ReConnect,” including how the loans and grants will be awarded to help build broadband infrastructure in rural America.


On April 20, 2020, USDA announced the Department has received 172 applications for $1.57 billion in Round Two of the ReConnect Program. The second round will enable USDA to implement innovative new solutions to rural connectivity by leveraging financial options with our partners and continuing the success of the first round of funding. The application window for Round Two closed on April 15.


In Round One of the ReConnect Program, USDA invested $698 million to bring high-speed broadband e-Connectivity to approximately 167,000 households, 17,000 rural small businesses and farms, and more than 500 health care centers, educational facilities and critical community facilities located in 33 states. To learn more about individual investments, read 
USDA’s Broadband ReConnect Program report
 (PDF, 4 MB).


USDA received 11 Round Two ReConnect Program applications that are eligible for the $100 million Congress allocated to the program through the 
CARES Act
.


To learn more about ReConnect Program eligibility, technical assistance and recent announcements, visit 
www.usda.gov/reconnect
.


USDA Rural Development provides loans and grants to help expand economic opportunities and create jobs in rural areas. This assistance supports infrastructure improvements; business development; housing; community facilities such as schools, public safety and health care; and high-speed internet access in rural areas. For more information, visit 
www.rd.usda.gov
.


#


USDA is an equal opportunity provider, employer, and lender."
4-Jan-21,/media/press-releases/2021/01/04/usda-announces-continuation-farmers-families-food-box-program-fifth,"USDA Announces Continuation of the Farmers to Families Food Box Program, Fifth Round of Food Purchases","(Washington, D.C., January 4, 2021)
 – U.S. Secretary of Agriculture Sonny Perdue announced the U.S. Department of Agriculture (USDA) will purchase an additional $1.5 billion worth of food for nationwide distribution through the Farmers to Families Food Box Program. In total, USDA has 
distributed more than 132 million food boxes
 in support of American farmers and families affected by the COVID-19 pandemic.


“This new round of Farmers to Families Food Boxes will go a long way in helping American families access nutritious and healthy meals as we recover from the COVID-19 pandemic. Thanks to the President Trump’s leadership, we have helped tens of millions of families and countless farmers with this program,” 
said Secretary Perdue
. “President Trump has committed to helping the American people recover and rebuild and this program helps American families get back on solid ground by ensuring they receive the nutritious food they need during these difficult times.”


“With over 3.3 billion meals distributed to families across this nation, I am proud to share that thanks to the Trump administration’s efforts, the Farmers to Families Food Box Program has an additional $1.5 billion to continue to feed families in need, provide employment and support our small farmers. During these unprecedented times, this Administration will continue to fight for American families and will always put them first!” - 
Advisor to the President Ivanka Trump


Background:


The additional funding for the program was included in the COVID-19 relief package as part of the Consolidated Appropriations Act passed December 21, 2020. In this fifth round of purchases, USDA will again purchase combination boxes to ensure all involved recipient organizations have access to fresh produce, dairy products, fluid milk and meat products, and seafood products will also be included in this round.


The solicitation will be issued to over 240 organizations that have previously received Basic Ordering Agreements (BOA). Solicitations to existing BOA holders are expected to be issued by the end of the week, with contract awards expected to be made by January 19. Deliveries will begin shortly after awards are issued and continue through the end of April. Additional BOA proposals will not be reviewed nor accepted at this time. A complete list of BOA holders can be found at 
www.ams.usda.gov/sites/default/files/media/RoundFourBOAHolders.pdf
 (PDF, 180 KB).


An amendment to the BOA will be issued to clarify the amount of acceptable processed meat products, to include seafood products and to clarify certain labelling requirements. Pre-cooked seafood products are now eligible for food box inclusion and can be aggregated with pre-cooked meat (beef, pork, chicken and turkey) products and egg or egg products to meet the existing material description weight requirements. In addition, USDA has emphasized that other hard, semi-firm or semi-soft cheese, for example, Blue, Brick, Colby, Edam, Gorgonzola, Gouda, Gruyere, Monterey, Muenster, Parmesan, Provolone and Romano are acceptable in addition to cheddar and other cheeses specified in the solicitation.


The Farmers to Families Food Box program is part of the Coronavirus Food Assistance Program (CFAP), which was developed in response to the COVID-19 pandemic. Using authority provided by the Families First Coronavirus Response Act, USDA partnered with national, regional and local distributors, whose workforces were significantly impacted by the closure of restaurants, hotels and other food service businesses, to purchase and distribute agricultural products to Americans in need.


The fourth round of the program was 
announced
 on Oct. 23, 2020, and purchased a total of $463 million worth of food delivered between Nov. 1 through Dec. 31, 2020. The fourth round was funded by an additional $500 million made available through supplemental appropriations provided to the Secretary in the CARES Act.


The third round of the Farmers to Families Food Box program was 
announced
 July 24, 2020, and the 
President announced
 on Aug. 24, 2020, that up to an additional $1 billion was being made available for deliveries through Oct. 31, 2020. USDA announced contracts for the third round on Sept. 17, 2020. By the end of the third round on Oct. 31, USDA purchased more than $3.566 billion worth of food.


In the 
second round
 of purchasing and distribution, which began July 1 and concluded Sep. 18, 2020, USDA purchased more than $1.781 billion of food through extended contracts of select vendors from the first round of the program as well as new contracts focused on Opportunity Zones in order to direct food to reach underserved areas, places where either no boxes have yet been delivered, or where boxes are being delivered but where there is additional need.


The 
first round
 of purchases occurred from May 15 through June 30, 2020 and saw more than 35.5 million boxes delivered in the first 45 days.


Updates to the number of food boxes verified as delivered will continue to be displayed on the USDA’s 
Agricultural Marketing Service (AMS) website
, with breakdowns by performance period on the 
Farmers to Families Food Box Program page
.


#


USDA is an equal opportunity provider, employer, and lender."
4-Jan-21,/media/press-releases/2021/01/04/usda-continues-move-snap-participants-forward,USDA Continues to Move SNAP Participants Forward,"(Washington, D.C., January 4, 2021)
 – The U.S. Department of Agriculture today announced a final rule enhancing employment and training opportunities for Supplemental Nutrition Assistance Program (SNAP) participants.


SNAP participants have exclusive access to training and support services to help them enter or move up in the workforce through state SNAP Employment and Training (E&T) programs. The final rule makes a wide range of enhancements to these services to empower more SNAP participants to gain the skills, training, or work experience they need to move forward and into work.


“USDA has a long-standing commitment to increasing opportunities for SNAP participants to move towards and into employment. This rule continues USDA’s efforts to connect more SNAP households with the dignity and hope that work provides,” said USDA Deputy Under Secretary for Food, Nutrition and Consumer Services Brandon Lipps.


Background:


In March, USDA published the proposed rule, “Employment and Training Opportunities in the Supplemental Nutrition Assistance Program.” The rule published today finalizes many of those changes—improving E&T programs by ensuring that states use evidence-based strategies to help participants get the skills local employers need most, by requiring the use of case management services for E&T participants, and by allowing E&T funds to be used for subsidized employment and apprenticeships.


Today’s final rule underscores USDA’s commitment to improving SNAP E&T programs, in partnership with states. Each year, USDA provides more than $100 million for states to operate their E&T programs. In addition, if a state invests its own money or outside funding to improve its SNAP E&T programs, the federal government will reimburse the state for 50 percent of those funds. Beyond funding, USDA efforts to support SNAP E&T include:




Hosting the first ever 
SNAP E&T National Forum.
 The virtual, 
three-day conference
 took place Oct. 13-15 and connected more than 1,500 partners from across the country to share and learn best practices to promote and boost employment among SNAP households through state E&T programs.


Operating 
SNAP to Skills
, which provides states and their partners with coaching and intensive technical support on how to build strong E&T programs. This year, seven states – Oregon, Colorado, Louisiana, Illinois, Kentucky, Pennsylvania, and Rhode Island – joined the 22 other states that have participated in SNAP to Skills since the program was launched in 2015.


Providing training, such as the 
SNAP E&T State Institutes and Learning Academies
, to develop expertise in administering SNAP E&T among individuals, partner organizations, and state agencies across the country.


Issuing more than $6.7 million in 
SNAP E&T National Partnership Grants
 in 2020 to help four national nonprofit organizations expand program capacity and develop networks of third-party partners to serve SNAP participants.




USDA’s Food and Nutrition Service administers 15 
nutrition assistance programs
 that leverage American agricultural abundance to ensure children and low-income individuals and families have nutritious food to eat. FNS also co-develops the 
Dietary Guidelines for Americans,
 which provide science-based nutrition recommendations and serve as the cornerstone of federal nutrition policy. Follow us on Twitter at 
@USDANutrition
(link is external)
.


#


USDA is an equal opportunity provider, employer, and lender."
